dt_sintoma,co_municipio,municipio,ocorrencias
1947-10-12,1100205,Porto Velho,0
1947-10-19,1100205,Porto Velho,0
1947-10-26,1100205,Porto Velho,0
1947-11-02,1100205,Porto Velho,0
1947-11-09,1100205,Porto Velho,0
1947-11-16,1100205,Porto Velho,0
1947-11-23,1100205,Porto Velho,0
1947-11-30,1100205,Porto Velho,0
1947-12-07,1100205,Porto Velho,0
1947-12-14,1100205,Porto Velho,0
1947-12-21,1100205,Porto Velho,0
1947-12-28,1100205,Porto Velho,0
1948-01-04,1100205,Porto Velho,0
1948-01-11,1100205,Porto Velho,0
1948-01-18,1100205,Porto Velho,0
1948-01-25,1100205,Porto Velho,0
1948-02-01,1100205,Porto Velho,0
1948-02-08,1100205,Porto Velho,0
1948-02-15,1100205,Porto Velho,0
1948-02-22,1100205,Porto Velho,0
1948-02-29,1100205,Porto Velho,0
1948-03-07,1100205,Porto Velho,0
1948-03-14,1100205,Porto Velho,0
1948-03-21,1100205,Porto Velho,0
1948-03-28,1100205,Porto Velho,0
1948-04-04,1100205,Porto Velho,0
1948-04-11,1100205,Porto Velho,0
1948-04-18,1100205,Porto Velho,0
1948-04-25,1100205,Porto Velho,0
1948-05-02,1100205,Porto Velho,0
1948-05-09,1100205,Porto Velho,0
1948-05-16,1100205,Porto Velho,0
1948-05-23,1100205,Porto Velho,0
1948-05-30,1100205,Porto Velho,0
1948-06-06,1100205,Porto Velho,0
1948-06-13,1100205,Porto Velho,0
1948-06-20,1100205,Porto Velho,0
1948-06-27,1100205,Porto Velho,0
1948-07-04,1100205,Porto Velho,0
1948-07-11,1100205,Porto Velho,0
1948-07-18,1100205,Porto Velho,0
1948-07-25,1100205,Porto Velho,0
1948-08-01,1100205,Porto Velho,0
1948-08-08,1100205,Porto Velho,0
1948-08-15,1100205,Porto Velho,0
1948-08-22,1100205,Porto Velho,0
1948-08-29,1100205,Porto Velho,0
1948-09-05,1100205,Porto Velho,0
1948-09-12,1100205,Porto Velho,0
1948-09-19,1100205,Porto Velho,0
1948-09-26,1100205,Porto Velho,0
1948-10-03,1100205,Porto Velho,0
1948-10-10,1100205,Porto Velho,0
1948-10-17,1100205,Porto Velho,0
1948-10-24,1100205,Porto Velho,0
1948-10-31,1100205,Porto Velho,0
1948-11-07,1100205,Porto Velho,0
1948-11-14,1100205,Porto Velho,0
1948-11-21,1100205,Porto Velho,0
1948-11-28,1100205,Porto Velho,0
1948-12-05,1100205,Porto Velho,0
1948-12-12,1100205,Porto Velho,0
1948-12-19,1100205,Porto Velho,0
1948-12-26,1100205,Porto Velho,0
1949-01-02,1100205,Porto Velho,0
1949-01-09,1100205,Porto Velho,0
1949-01-16,1100205,Porto Velho,0
1949-01-23,1100205,Porto Velho,0
1949-01-30,1100205,Porto Velho,0
1949-02-06,1100205,Porto Velho,0
1949-02-13,1100205,Porto Velho,0
1949-02-20,1100205,Porto Velho,0
1949-02-27,1100205,Porto Velho,0
1949-03-06,1100205,Porto Velho,0
1949-03-13,1100205,Porto Velho,0
1949-03-20,1100205,Porto Velho,0
1949-03-27,1100205,Porto Velho,0
1949-04-03,1100205,Porto Velho,0
1949-04-10,1100205,Porto Velho,0
1949-04-17,1100205,Porto Velho,0
1949-04-24,1100205,Porto Velho,0
1949-05-01,1100205,Porto Velho,0
1949-05-08,1100205,Porto Velho,0
1949-05-15,1100205,Porto Velho,0
1949-05-22,1100205,Porto Velho,0
1949-05-29,1100205,Porto Velho,1
1949-06-05,1100205,Porto Velho,0
1949-06-12,1100205,Porto Velho,0
1949-06-19,1100205,Porto Velho,0
1949-06-26,1100205,Porto Velho,0
1949-07-03,1100205,Porto Velho,0
1949-07-10,1100205,Porto Velho,0
1949-07-17,1100205,Porto Velho,0
1949-07-24,1100205,Porto Velho,0
1949-07-31,1100205,Porto Velho,0
1949-08-07,1100205,Porto Velho,0
1949-08-14,1100205,Porto Velho,0
1949-08-21,1100205,Porto Velho,0
1949-08-28,1100205,Porto Velho,0
1949-09-04,1100205,Porto Velho,0
1949-09-11,1100205,Porto Velho,0
1949-09-18,1100205,Porto Velho,0
1949-09-25,1100205,Porto Velho,0
1949-10-02,1100205,Porto Velho,0
1949-10-09,1100205,Porto Velho,0
1949-10-16,1100205,Porto Velho,0
1949-10-23,1100205,Porto Velho,0
1949-10-30,1100205,Porto Velho,0
1949-11-06,1100205,Porto Velho,0
1949-11-13,1100205,Porto Velho,0
1949-11-20,1100205,Porto Velho,0
1949-11-27,1100205,Porto Velho,0
1949-12-04,1100205,Porto Velho,0
1949-12-11,1100205,Porto Velho,0
1949-12-18,1100205,Porto Velho,0
1949-12-25,1100205,Porto Velho,0
